date,open,high,low,close,volume,ema10,ema20,vwma20,rsi14,signal
2024-08-15,30.8,31.26,30.5,31.14,104979.0,31.715256361401437,32.072950055014736,32.283491041329995,33.17219623084229,0
2024-08-14,30.26,30.32,29.88,30.2,95714.0,31.439755204782994,31.894573859299047,32.17304546167892,25.855458406621167,0
2024-08-13,30.17,30.5,29.56,30.34,154359.0,31.239799713004267,31.74651920603247,32.0306754405292,28.388886374669895,0
2024-08-12,30.1,30.19,29.75,29.99,93437.0,31.012563401548945,31.579231662600808,31.921415298972345,25.99731894317469,0
2024-08-09,29.88,30.05,29.53,30.01,203142.0,30.830279146721864,31.4297810280674,31.725224846193374,26.378984275503583,0
2024-08-08,29.8,30.07,29.21,30.0,79025.0,30.679319301863345,31.293611406346695,31.628652921461505,26.305930340662556,0
2024-08-07,29.77,29.79,28.79,28.89,81318.0,30.353988519706373,31.064696034313677,31.460305932026664,19.76329676393314,0
2024-08-06,29.14,29.75,29.0,29.4,110799.0,30.18053606157794,30.906153554855234,31.281105139321152,28.55553417418082,0
2024-08-05,30.01,30.01,28.85,29.14,153785.0,29.991347686745584,30.73794845439283,31.06151624329171,26.935095128222287,0
2024-08-02,32.39,32.39,30.77,31.1,160095.0,30.192920834610025,30.772429553974465,30.894191509262104,49.979222074752165,0
2024-08-01,34.05,35.0,31.91,32.39,271052.0,30.59238977377184,30.926483882167375,30.992486849928508,59.11823678950592,0
2024-07-31,31.73,32.56,31.53,32.06,134268.0,30.85922799672241,31.034437798151437,30.975919780375918,56.28520094846398,0
2024-07-30,31.98,32.45,31.54,31.98,324107.0,31.06300472459106,31.124491341184633,31.055996291825696,55.589719089793476,0
2024-07-29,31.73,32.18,31.26,31.78,85195.0,31.193367501938138,31.186920737262287,31.005956374321265,53.79994542957373,0
2024-07-26,31.45,31.68,31.15,31.59,108000.0,31.265482501585744,31.225309238475404,30.986249095235785,52.08433359490744,0
2024-07-25,30.4,31.22,30.4,30.92,113259.0,31.202667501297423,31.196232168144412,30.972764006592193,46.4582528974769,0
2024-07-24,30.52,31.14,30.28,30.38,64674.0,31.053091591970617,31.118495771178278,30.948889702858366,42.475855290074904,0
2024-07-23,30.34,30.89,30.16,30.55,84878.0,30.961620393430504,31.064353316780345,30.9253907499463,44.10039498897074,0
2024-07-22,30.01,30.6,29.65,30.39,137270.0,30.85768941280677,31.000129191372693,30.886876676041474,42.87317739172067,0
2024-07-19,29.34,30.09,29.34,30.02,184974.0,30.7053822468419,30.906783554099103,30.80227319236389,40.09454670654366,0
2024-07-18,28.89,29.95,28.89,29.34,102262.0,30.457130929234282,30.75756607275633,30.734798605784256,35.53619386393659,0
2024-07-17,28.79,29.21,28.5,29.07,123054.0,30.204925305737138,30.596845494398583,30.679300222864022,33.888724348355694,0
2024-07-16,28.58,29.15,28.33,28.82,123918.0,29.953120704694022,30.42762211397967,30.614291662771603,32.391330014121834,0
2024-07-15,27.87,28.31,27.76,28.2,102837.0,29.634371485658747,30.21546762693399,30.54516769823779,28.97231838763203,0
2024-07-12,27.84,28.14,27.56,27.66,118553.0,29.27539485190261,29.97208975770218,30.457559004296513,26.36230939764711,0
2024-07-11,26.86,27.66,26.73,27.45,114089.0,28.94350487882941,29.731890733159116,30.343798154230658,25.40386107557299,0
2024-07-10,26.16,26.28,25.84,26.28,34229.0,28.459231264496786,29.403139234763007,30.335922846092746,20.85462147852212,0
2024-07-09,26.18,26.4,25.88,26.02,49694.0,28.015734670951915,29.08093549811891,30.293155316997613,19.997604878102138,0
2024-07-08,26.37,26.68,26.19,26.31,68124.0,27.7056010944152,28.817036879250445,30.255619169569403,23.76094739365321,0
2024-07-05,27.1,27.22,26.06,26.18,92590.0,27.428219077248798,28.56589050979802,30.045304418047074,23.233338134367386,0
2024-07-03,27.71,27.71,26.87,27.18,60205.0,27.383088335930832,28.433900937436302,29.68233283472136,35.16032674470128,0
2024-07-02,26.59,27.4,26.51,27.39,147716.0,27.384345002125226,28.33448180053761,29.388597066119907,37.36125151657005,0
2024-07-01,27.04,27.04,26.31,26.51,67621.0,27.225373183557,28.16072162905784,28.86692718927843,32.398353198103564,0
2024-06-28,27.17,27.39,26.46,26.84,351259.0,27.15530533200118,28.034938616766617,28.440040698806605,35.840210368188735,0
2024-06-27,27.09,27.09,26.45,26.93,152076.0,27.114340726182782,27.92970636755075,28.19155989538138,36.78550135979107,0
